dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
AppliancesEnergy,2.5279,2.8170,3.4214,5.4372,7.1064,7.1263,7.1263,2.6255,2.6498,7.7752,2.638840924769626,2.8983772867945343,3.9552863322897305,5.481388506993425,6.770810127258301,7.373149833718218,7.373149833718218,2.947963826551515,3.760308909611433,8.062573809618543,2.622692638118647,2.873174170520811,3.3009151634725287,4.541895496074918,4.665648530976118,4.683874941061191,4.683874941061191,2.791225844542229,2.778814556763612,5.252235300038704
FloodModeling1,0.0178,0.0178,0.0179,0.0177,0.0192,0.0192,0.0192,0.0211,0.0207,0.0201,0.0169984408291527,0.0173597019111232,0.0208630951500102,0.0213359404410339,0.0248398159431569,0.0255043435914467,0.0255043458737113,0.0229350880988156,0.0229982716757929,0.0210903044597486,0.0184670987878667,0.0204198973740841,0.031731193924915,0.0314003746209207,0.0187069440130906,0.0186455331596506,0.018645530818299,0.0187208163989783,0.0188261922857366,0.0314192880426774
BenzeneConcentration,1.5847,2.7385,8.3147,8.0886,7.6006,7.7094,7.7094,5.8352,6.8972,8.6275,1.624269541376998,2.646565183412275,8.100306620504647,8.027007767451733,7.3533358730520435,7.231959291849935,7.231959291849935,5.9670816856126105,6.360130771276199,7.90672234492562,1.719572182722321,2.468001240042154,8.020238073149699,8.095914926737839,7.309578597294069,7.365547976700058,7.365547976700058,5.988855820853325,5.011223022966857,7.710244871374871
Covid3Month,0.0435,0.0445,0.0431,0.0430,0.0453,0.0434,0.0434,0.0433,0.0434,0.0448,0.0442988348624871,0.0463404977304217,0.0490457192541816,0.0492482800679583,0.0527237952180629,0.0565222168430109,0.0565222168430109,0.0544085840601542,0.0506495432133555,0.0566521069793235,0.043934819505245,0.0440939548403694,0.0430089358959158,0.043629576999366,0.0439541662092351,0.0437699009238398,0.0437699009238398,0.0429410533615522,0.0430354107906095,0.0435238656437387
BeijingPM10Quality,99.11,103.93,110.73,108.78,105.23,105.18,105.19,116.31,117.83,132.58,104.02832584505528,114.3511202871992,117.7380111001222,115.12034718475051,111.0779041090081,111.07342025660324,111.07346421681912,103.85409875457492,103.54286080381158,140.68479978528242,101.26024735952652,106.01817079662572,106.52913242248572,104.37934590503286,111.19363038187036,111.20231158371888,111.20231158371888,107.09566492306072,107.88999479359752,131.50017823181838
