dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.75,0.43,0.2,0.24,0.2,0.16,0.16,0.29,0.26,0.24
Adiac,0.6649616368286445,0.5728900255754475,0.2327365728900255,0.258312020460358,0.1125319693094629,0.0792838874680307,0.0792838874680307,0.2250639386189258,0.1278772378516624,0.1253196930946291
ArrowHead,0.76,0.5942857142857143,0.5657142857142857,0.6,0.44,0.4285714285714285,0.4285714285714285,0.4971428571428571,0.4,0.4342857142857143
Beef,0.7,0.6,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6666666666666666,0.3333333333333333,0.1333333333333333
BeetleFly,0.9,0.9,0.5,0.45,0.25,0.25,0.25,0.7,0.75,0.4
BirdChicken,0.85,0.8,0.5,0.4,0.35,0.35,0.35,0.75,0.75,0.35
BME,0.96,0.9066666666666666,0.8666666666666667,0.6666666666666666,0.6266666666666667,0.5066666666666667,0.5066666666666667,0.6533333333333333,0.52,0.5666666666666667
Car,0.85,0.8,0.5,0.5333333333333333,0.3666666666666666,0.3833333333333333,0.3833333333333333,0.6833333333333333,0.5666666666666667,0.2
CBF,0.9122222222222224,0.8911111111111111,0.6833333333333333,0.8555555555555555,0.4144444444444444,0.4377777777777777,0.4377777777777777,0.6977777777777778,0.6688888888888889,0.3988888888888889
Chinatown,0.9387755102040816,0.9067055393586004,0.5714285714285714,0.9446064139941692,0.3032069970845481,0.2303206997084548,0.2303206997084548,0.3177842565597668,0.358600583090379,0.1720116618075801
ChlorineConcentration,0.7145833333333333,0.621875,0.2770833333333333,0.4322916666666667,0.18828125,0.15390625,0.15390625,0.4606770833333333,0.3484375,0.3393229166666666
Coffee,0.9642857142857144,0.8571428571428571,0.4642857142857143,0.4642857142857143,0.25,0.25,0.25,0.4642857142857143,0.4642857142857143,0.0357142857142857
Computers,0.648,0.624,0.664,0.568,0.484,0.492,,0.56,0.62,0.572
CricketX,0.6358974358974359,0.5846153846153846,0.4589743589743589,0.5282051282051282,0.2358974358974359,0.2358974358974359,0.2358974358974359,0.3128205128205128,0.2692307692307692,0.1846153846153846
CricketY,0.6,0.5820512820512821,0.4743589743589743,0.482051282051282,0.1743589743589743,0.1435897435897435,,0.4564102564102564,0.4538461538461538,0.1589743589743589
CricketZ,0.6538461538461539,0.6230769230769231,0.4717948717948718,0.5461538461538461,0.2435897435897435,0.2717948717948718,0.2717948717948718,0.441025641025641,0.3692307692307692,0.241025641025641
Crop,0.6601190476190476,0.4351785714285714,0.4547619047619047,0.4261309523809524,0.3450595238095238,0.315,0.315,0.4278571428571429,0.3673214285714286,0.3198809523809524
DiatomSizeReduction,0.931372549019608,0.9117647058823528,0.5032679738562091,0.8627450980392157,0.4019607843137255,0.261437908496732,0.261437908496732,0.2810457516339869,0.3071895424836601,0.3039215686274509
DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.6906474820143885,0.4244604316546763,0.762589928057554,0.3884892086330935,0.3884892086330935,0.3884892086330935,0.7338129496402878,0.7338129496402878,0.3741007194244604
DistalPhalanxOutlineCorrect,0.7536231884057971,0.7536231884057971,0.4963768115942029,0.8768115942028986,0.1268115942028985,0.1123188405797101,0.1123188405797101,0.6847826086956522,0.4311594202898551,0.0978260869565217
DistalPhalanxTW,0.6906474820143885,0.6187050359712231,0.2805755395683453,0.7122302158273381,0.2589928057553957,0.1942446043165467,0.1942446043165467,0.6690647482014388,0.6258992805755396,0.2877697841726618
Earthquakes,0.7769784172661871,0.762589928057554,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7410071942446043
ECG200,0.86,0.82,0.73,0.63,0.44,0.41,0.41,0.73,0.71,0.36
ECG5000,0.8928888888888888,0.8935555555555555,0.8884444444444445,0.8788888888888889,0.8413333333333334,0.8213333333333334,,0.8544444444444445,0.8171111111111111,0.6515555555555556
ECGFiveDays,0.875725900116144,0.8710801393728222,0.6469221835075494,0.5203252032520326,0.1660859465737514,0.1858304297328687,0.1858304297328687,0.6538908246225319,0.5981416957026713,0.181184668989547
