dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
ArticularyWordRecognition,0.957,0.937,0.51,0.757,0.277,0.213,0.213,0.903,0.9,0.177,0.9266666666666666,0.87,0.5133333333333333,0.73,0.1933333333333333,0.2066666666666666,0.2066666666666666,0.8533333333333334,0.81,0.12,0.9133333333333332,0.88,0.4733333333333333,0.6066666666666667,0.1566666666666666,0.1466666666666666,0.1466666666666666,0.8666666666666667,0.8933333333333333,0.0766666666666666
BasicMotions,1.0,1.0,0.975,1.0,0.65,0.625,0.625,1.0,1.0,0.6,0.975,0.975,1.0,0.975,0.625,0.65,0.65,0.975,0.95,0.65,0.95,0.95,0.975,0.95,0.7,0.625,0.625,0.95,0.975,0.7
CharacterTrajectories,0.967,0.885,0.893,0.904,0.558,0.422,0.422,0.966,0.966,0.284,0.9561281337047354,0.7806406685236769,0.9164345403899722,0.8293871866295265,0.5389972144846796,0.5863509749303621,0.5863509749303621,0.9512534818941504,0.9568245125348188,0.5027855153203342,0.9658774373259053,0.7513927576601671,0.9025069637883008,0.7945682451253482,0.5396935933147632,0.5626740947075209,0.5626740947075209,0.964484679665738,0.963091922005571,0.5006963788300836
Cricket,1.0,0.972,0.431,0.75,0.403,0.236,0.236,0.944,0.944,0.181,0.9583333333333334,0.9027777777777778,0.25,0.5694444444444444,0.1944444444444444,0.125,0.125,0.9305555555555556,0.9305555555555556,0.1944444444444444,0.9583333333333334,0.8888888888888888,0.2777777777777778,0.75,0.4305555555555556,0.2361111111111111,0.2361111111111111,0.9027777777777778,0.9583333333333334,0.1944444444444444
Epilepsy,0.95,0.928,0.826,0.884,0.5,0.486,0.486,0.906,0.891,0.493,0.9057971014492754,0.9057971014492754,0.7681159420289855,0.8478260869565217,0.5217391304347826,0.5072463768115942,0.5072463768115942,0.8840579710144928,0.8985507246376812,0.4927536231884058,0.9057971014492754,0.8913043478260869,0.7391304347826086,0.8260869565217391,0.5072463768115942,0.5072463768115942,0.5072463768115942,0.8623188405797102,0.855072463768116,0.4855072463768116
ERing,0.93,0.907,0.463,0.904,0.467,0.43,0.43,0.881,0.874,0.259,0.8851851851851852,0.8518518518518519,0.3666666666666666,0.8185185185185185,0.4333333333333333,0.3703703703703703,0.3703703703703703,0.8222222222222222,0.8074074074074075,0.3333333333333333,0.8888888888888888,0.8296296296296296,0.3333333333333333,0.7592592592592593,0.4259259259259259,0.3296296296296296,0.3296296296296296,0.7962962962962963,0.825925925925926,0.2111111111111111
FaceDetection,0.62,0.611,0.613,0.621,0.0,0.0,0.0,0.579,0.587,0.0,0.5717934165720772,0.5700908059023837,0.554483541430193,0.550794551645857,0.0,0.0,0.0,0.554199772985244,0.5550510783200908,0.0,0.5709421112372304,0.5754824063564131,0.5624290578887627,0.5314982973893303,0.0,0.0,0.0,0.5720771850170261,0.5729284903518729,0.0
FingerMovements,0.62,0.59,0.57,0.56,0.0,0.0,0.0,0.57,0.55,0.0,0.57,0.5,0.53,0.58,0.0,0.0,0.0,0.6,0.59,0.02,0.57,0.46,0.47,0.58,0.0,0.0,0.0,0.54,0.56,0.0
HandMovementDirection,0.514,0.405,0.243,0.189,0.0,0.0,0.0,0.446,0.459,0.013,0.4729729729729729,0.3648648648648648,0.2027027027027027,0.2027027027027027,0.027027027027027,0.0,0.0,0.4189189189189189,0.4324324324324324,0.0,0.4729729729729729,0.3783783783783784,0.2027027027027027,0.2162162162162162,0.0,0.0135135135135135,0.0135135135135135,0.3648648648648648,0.3783783783783784,0.0
Heartbeat,0.785,0.766,0.663,0.785,0.259,0.21,0.21,0.766,0.766,0.39,0.7463414634146341,0.7560975609756098,0.7658536585365854,0.7414634146341463,0.3902439024390244,0.3804878048780488,0.3804878048780488,0.7414634146341463,0.7414634146341463,0.5902439024390244,0.751219512195122,0.7365853658536585,0.7609756097560976,0.7268292682926829,0.5463414634146342,0.5463414634146342,0.5463414634146342,0.7317073170731707,0.7268292682926829,0.6390243902439025
JapaneseVowels,0.992,0.951,0.851,0.884,0.481,0.289,0.289,0.946,0.949,0.33,0.9432432432432432,0.9378378378378378,0.8756756756756757,0.8837837837837837,0.2756756756756757,0.227027027027027,0.227027027027027,0.8810810810810811,0.8918918918918919,0.3567567567567568,0.9432432432432432,0.9108108108108108,0.845945945945946,0.9,0.3756756756756756,0.3324324324324324,0.3324324324324324,0.9243243243243244,0.9216216216216216,0.3837837837837838
Libras,0.878,0.75,0.456,0.583,0.394,0.406,0.406,0.722,0.583,0.267,0.8333333333333334,0.7166666666666667,0.4444444444444444,0.6055555555555555,0.3666666666666666,0.3166666666666666,0.3166666666666666,0.6055555555555555,0.5944444444444444,0.2888888888888888,0.8333333333333334,0.7111111111111111,0.4111111111111111,0.6555555555555556,0.35,0.3222222222222222,0.3222222222222222,0.7333333333333333,0.6944444444444444,0.3055555555555556
LSST,0.65,0.571,0.473,0.509,0.271,0.178,0.178,0.414,0.401,0.276,0.5952960259529603,0.5733982157339822,0.5255474452554745,0.5571776155717761,0.2944038929440389,0.278588807785888,0.278588807785888,0.5401459854014599,0.5231143552311436,0.3195458231954582,0.6021897810218978,0.5754257907542579,0.4975669099756691,0.5446066504460665,0.2704785077047851,0.1735604217356042,0.1735604217356042,0.5251419302514193,0.4971613949716139,0.3045417680454176
MotorImagery,0.63,0.64,0.57,0.43,0.02,0.63,0.63,0.58,0.58,0.0,0.58,0.51,0.51,0.37,0.0,0.58,0.58,0.52,0.52,0.01,0.61,0.59,0.47,0.39,0.02,0.61,0.61,0.54,0.54,0.02
NATOPS,0.939,0.878,0.728,0.717,0.161,0.122,0.122,0.383,0.333,0.272,0.9055555555555556,0.9,0.8722222222222222,0.7166666666666667,0.4555555555555555,0.4277777777777777,0.4277777777777777,0.7555555555555555,0.6666666666666666,0.4777777777777778,0.9166666666666666,0.8888888888888888,0.8944444444444445,0.6888888888888889,0.3666666666666666,0.3944444444444444,0.3944444444444444,0.8333333333333334,0.8333333333333334,0.3722222222222222
