dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ArticularyWordRecognition,0.0240370085030932,0.0853426644203845,0.045797865064263,0.0638229611532587,0.0317979733805648,0.0193419521018719,0.0193419521018719,0.0378711460574367,0.0416777762966912,0.0050917507721731
BasicMotions,0.025,0.0381881307912986,0.0288675134594812,0.0249999999999999,0.0721687836487032,0.1181453906563152,0.1181453906563152,0.1322875655532295,0.0866025403784438,0.0661437827766147
CharacterTrajectories,0.0185482613437895,0.0280368597079818,0.1477620614555921,0.0914612792659481,0.0790947762063687,0.1455294444349813,0.1455294444349813,0.1462708571441066,0.24820866280049,0.0863844324316369
Cricket,0.0240562612162343,0.1210805262094631,0.0322040817390969,0.1111114074070123,0.0910586795839475,0.0501236742073981,0.0501236742073981,0.0910687715534989,0.0626342183526064,0.0365575818418485
Epilepsy,0.0248737093628363,0.0119134395181351,0.0433813651707579,0.0761472234175488,0.027286193416561,0.0443628314459336,0.0443628314459336,0.0399232287964145,0.048137037464486,0.0720772333820913
ERing,0.0255205553772225,0.0084223101170916,0.0398854069890383,0.0334361112417644,0.0083926100124773,0.0549350332028284,0.0549350332028284,0.0150745968622516,0.0493585308428818,0.0837954124491193
FaceDetection,0.0280810608074395,0.0261838175995806,0.0257233508078693,0.0313894577731823,0.0,0.0,0.0,0.0164505361098155,0.0154463071617699,0.0
FingerMovements,0.0288675134594813,0.0351188458428424,0.0321455025366432,0.0208166599946612,0.0,0.0,0.0,0.0665832811847939,0.0346410161513775,0.0057735026918962
HandMovementDirection,0.0210531041541875,0.0097927057072298,0.0241048711797945,0.0386491743170748,0.1587840626275734,0.1858135804897691,0.1858135804897691,0.0128825972042807,0.0097134458938248,0.2138316599160908
Heartbeat,0.0281497266383266,0.0624502451091689,0.0974692936732132,0.0286596995514324,0.0587094466286966,0.0071201213866754,0.0071201213866754,0.1892842494834367,0.0454539818447914,0.0174376066069352
JapaneseVowels,0.026355566641357,0.0710145267576107,0.0612993359437053,0.0611281496244172,0.0086325601396004,0.047856261194045,0.047856261194045,0.0540058873432614,0.0498631073412503,0.0516490999590413
Libras,0.0257883120238032,0.0851699825403641,0.0402747252994031,0.0861260441054331,0.032267465044709,0.0277858506787606,0.0277858506787606,0.1059914991932587,0.0786328657243042,0.0192450089729875
LSST,0.0251661147842358,0.0351188458428424,0.0264575131106459,0.0435889894354067,0.0057735026918962,0.0251661147842358,0.0251661147842358,0.0608276253029821,0.0608276253029821,0.01
MotorImagery,0.017033131597462,0.0711113715273009,0.2421173660232597,0.0662161008853655,0.0442224083375945,0.0362606022525848,0.0362606022525848,0.1407132075894919,0.1331469382317664,0.0139811748801309
NATOPS,0.0264713429781047,0.0119605982332968,0.0087854907993861,0.0752325033920914,0.0348422761464838,0.0503918953010482,0.0503918953010482,0.1603195747936397,0.1300537453873426,0.0
PEMS-SF,0.0183903164511326,0.1737360756258855,0.1915341494774262,0.1456550670489134,0.0605752993995167,0.0637182139589926,0.0637182139589926,0.079624892936292,0.1244232695931441,0.0337030665297177
PenDigits,0.0236114867893274,0.0590663820498427,0.1598899927688626,0.0135902645617635,0.0596691710374727,0.0431450665573293,0.0431450665573293,0.0151812733940598,0.0151812733940598,0.0486157508228575
RacketSports,0.0266541758021652,0.1153726954225498,0.0781790630379174,0.0309134099767716,0.0255543796153714,0.0229388507536612,0.0229388507536612,0.0814268607087864,0.0513609693610256,0.023781653559307
SelfRegulationSCP1,0.0240249356058283,0.022512090944271,0.0327422280540342,0.0916245919151698,0.0917928424547683,0.0473371586004287,0.0473371586004287,0.050371882874895,0.0424009496943102,0.0834951268876919
SelfRegulationSCP2,0.0275299079790204,0.0165359456941536,0.0921919137361478,0.0283202482039499,0.014865543212409,0.0155357450738611,0.0155357450738611,0.1116334692569093,0.0523223681453098,0.0260499320216643
UWaveGestureLibrary,0.0236869650981041,0.0486951819742391,0.0155868968619869,0.015629871648629,0.0156040613294493,0.0078020306647246,0.0078020306647246,0.0546184579235439,0.0474542015444069,0.0
