dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.75,0.23,0.19,0.24,0.13,0.11,0.11,0.25,0.12,0.18
Adiac,0.6649616368286445,0.4066496163682864,0.0588235294117647,0.1739130434782608,0.0818414322250639,0.0562659846547314,0.0562659846547314,0.0869565217391304,0.0511508951406649,0.0690537084398976
ArrowHead,0.76,0.5085714285714286,0.5257142857142857,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5885714285714285,0.3885714285714285,0.3885714285714285
Beef,0.7,0.5333333333333333,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.2,0.2,0.1333333333333333
BeetleFly,0.9,0.75,0.5,0.45,0.2,0.2,0.2,0.55,0.7,0.4
BirdChicken,0.85,0.75,0.5,0.35,0.35,0.35,0.35,0.5,0.5,0.2
BME,0.96,0.86,0.68,0.64,0.6066666666666667,0.5,0.5,0.5533333333333333,0.5133333333333333,0.52
Car,0.85,0.6666666666666666,0.4333333333333333,0.5166666666666667,0.3,0.2833333333333333,0.2833333333333333,0.5,0.3,0.1666666666666666
CBF,0.9122222222222224,0.83,0.5133333333333333,0.6766666666666666,0.2511111111111111,0.2488888888888888,0.2488888888888888,0.5922222222222222,0.4588888888888889,0.2522222222222222
Chinatown,0.9387755102040816,0.8017492711370262,0.314868804664723,0.932944606413994,0.0145772594752186,0.0145772594752186,0.0145772594752186,0.2769679300291545,0.2857142857142857,0.075801749271137
ChlorineConcentration,0.7145833333333333,0.5036458333333333,0.2325520833333333,0.43125,0.1802083333333333,0.1518229166666666,0.1518229166666666,0.3322916666666666,0.3036458333333333,0.3372395833333333
Coffee,0.9642857142857144,0.8214285714285714,0.4642857142857143,0.4642857142857143,0.25,0.25,0.25,0.4642857142857143,0.4642857142857143,0.1071428571428571
Computers,0.648,0.556,0.556,0.528,0.44,0.44,,0.508,0.544,0.456
CricketX,0.6358974358974359,0.4897435897435897,0.2974358974358974,0.3333333333333333,0.1666666666666666,0.1282051282051282,0.1282051282051282,0.1102564102564102,0.1076923076923077,0.1102564102564102
CricketY,0.6,0.5,0.3794871794871794,0.4358974358974359,0.1282051282051282,0.0794871794871794,,0.2358974358974359,0.1384615384615384,0.0538461538461538
CricketZ,0.6538461538461539,0.5487179487179488,0.3769230769230769,0.4666666666666667,0.1717948717948718,0.1589743589743589,0.1589743589743589,0.1769230769230769,0.182051282051282,0.1666666666666666
Crop,0.6601190476190476,0.3230357142857142,0.2857738095238095,0.2693452380952381,0.2141666666666666,0.1658928571428571,0.1658928571428571,0.2382738095238095,0.2058333333333333,0.1333333333333333
DiatomSizeReduction,0.931372549019608,0.8300653594771242,0.3464052287581699,0.8464052287581699,0.2810457516339869,0.0947712418300653,0.0947712418300653,0.3039215686274509,0.3071895424836601,0.1209150326797385
DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.6762589928057554,0.4244604316546763,0.762589928057554,0.381294964028777,0.381294964028777,0.381294964028777,0.7266187050359713,0.5683453237410072,0.3669064748201439
DistalPhalanxOutlineCorrect,0.7536231884057971,0.6920289855072463,0.4347826086956521,0.8804347826086957,0.0543478260869565,0.0543478260869565,0.0543478260869565,0.4347826086956521,0.4166666666666667,0.0833333333333333
DistalPhalanxTW,0.6906474820143885,0.5179856115107914,0.2805755395683453,0.7050359712230215,0.2158273381294964,0.158273381294964,0.158273381294964,0.6546762589928058,0.6187050359712231,0.2949640287769784
Earthquakes,0.7769784172661871,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043
ECG200,0.86,0.81,0.65,0.61,0.36,0.28,0.28,0.66,0.59,0.18
ECG5000,0.8928888888888888,0.8933333333333333,0.884,0.8677777777777778,0.8233333333333334,0.7911111111111111,,0.7735555555555556,0.6542222222222223,0.5008888888888889
ECGFiveDays,0.875725900116144,0.8617886178861789,0.578397212543554,0.478513356562137,0.1440185830429733,0.1591173054587688,0.1591173054587688,0.5284552845528455,0.5098722415795587,0.1556329849012775
ElectricDevices,0.6990014265335235,0.508624043574115,0.4206977045778757,0.4964336661911555,0.4550641940085592,0.4277006873297886,0.4277006873297886,0.4197899105174426,0.2642977564518221,0.4716638568279082
FaceAll,0.7207100591715976,0.5911242603550296,0.1130177514792899,0.2218934911242603,0.0633136094674556,0.0260355029585798,,0.0278106508875739,0.0189349112426035,0.0159763313609467
FaceFour,0.9204545454545454,0.7840909090909091,0.3977272727272727,0.625,0.3295454545454545,0.2613636363636363,,0.3409090909090909,0.3522727272727273,0.2272727272727272
FacesUCR,0.8160975609756097,0.7180487804878048,0.324390243902439,0.6273170731707317,0.2356097560975609,0.2317073170731707,0.2317073170731707,0.1321951219512195,0.193170731707317,0.1107317073170731
FiftyWords,0.676923076923077,0.4483516483516483,0.2483516483516483,0.421978021978022,0.1362637362637362,0.1032967032967032,0.1032967032967032,0.2549450549450549,0.1142857142857142,0.0417582417582417
Fish,0.7714285714285715,0.5485714285714286,0.2571428571428571,0.24,0.1085714285714285,0.0857142857142857,0.0857142857142857,0.1771428571428571,0.1485714285714285,0.0057142857142857
FreezerRegularTrain,0.9564912280701754,0.9357894736842104,0.7789473684210526,0.4971929824561403,0.4122807017543859,0.42,0.42,0.6080701754385965,0.7459649122807017,0.4463157894736842
Fungi,0.9301075268817204,0.6720430107526881,0.3817204301075269,0.4946236559139785,0.3870967741935484,0.2096774193548387,0.2096774193548387,0.1182795698924731,0.0806451612903225,0.2419354838709677
GunPoint,0.9133333333333332,0.7333333333333333,0.5,0.9266666666666666,0.1,0.08,0.08,0.6466666666666666,0.5866666666666667,0.22
GunPointAgeSpan,0.9335443037974684,0.6518987341772152,0.5348101265822784,0.5822784810126582,0.6455696202531646,0.2373417721518987,0.2373417721518987,0.3734177215189873,0.4588607594936709,0.5664556962025317
GunPointMaleVersusFemale,0.9525316455696202,0.7816455696202531,0.7626582278481012,1.0,0.5,0.5253164556962026,0.5253164556962026,0.7373417721518988,0.7373417721518988,0.5063291139240507
GunPointOldVersusYoung,0.9682539682539684,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238
Ham,0.8095238095238095,0.6857142857142857,0.5142857142857142,0.5142857142857142,0.219047619047619,0.2285714285714285,,0.5142857142857142,0.5142857142857142,0.2571428571428571
Herring,0.640625,0.65625,0.59375,0.59375,0.0,0.0,0.0,0.59375,0.59375,0.0
InsectEPGRegularTrain,0.8313253012048193,0.6104417670682731,0.4738955823293173,0.4738955823293173,0.4738955823293173,0.4738955823293173,,0.8313253012048193,0.4738955823293173,0.4738955823293173
InsectEPGSmallTrain,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,,0.5261044176706827,0.5261044176706827,0.5220883534136547
InsectWingbeatSound,0.5974747474747475,0.5404040404040404,0.4272727272727272,0.5555555555555556,0.2075757575757575,0.1742424242424242,,0.3363636363636363,0.3419191919191919,0.1085858585858585
ItalyPowerDemand,0.9271137026239068,0.7793974732750243,0.5043731778425656,0.4101068999028183,0.3177842565597668,0.314868804664723,,0.5889212827988338,0.5296404275996113,0.2458697764820213
LargeKitchenAppliances,0.6693333333333333,0.5093333333333333,0.456,0.4293333333333333,0.264,0.2533333333333333,0.2533333333333333,0.3386666666666666,0.3333333333333333,0.3093333333333333
Lightning2,0.7704918032786885,0.6721311475409836,0.6065573770491803,0.6721311475409836,0.4754098360655737,0.4590163934426229,0.4590163934426229,0.6229508196721312,0.6229508196721312,0.4262295081967213
Lightning7,0.7123287671232876,0.4931506849315068,0.3150684931506849,0.4657534246575342,0.1506849315068493,0.0958904109589041,,0.0958904109589041,0.0958904109589041,0.0410958904109589
MedicalImages,0.7065789473684211,0.5881578947368421,0.525,0.5973684210526315,0.4092105263157894,0.3973684210526316,0.3973684210526316,0.5184210526315789,0.5092105263157894,0.4052631578947368
MelbournePedestrian,0.8876588765887659,0.6273062730627307,0.5653956539565396,0.5264452644526445,0.5658056580565806,0.4206642066420664,0.4206642066420664,0.4419844198441984,0.3763837638376384,0.2632226322263222
MiddlePhalanxOutlineAgeGroup,0.6363636363636364,0.5974025974025974,0.5714285714285714,0.6233766233766234,0.1818181818181818,0.2337662337662337,0.2337662337662337,0.3181818181818182,0.3571428571428571,0.1298701298701298
MiddlePhalanxOutlineCorrect,0.7972508591065293,0.6872852233676976,0.5670103092783505,0.8419243986254296,0.2371134020618556,0.2371134020618556,0.2371134020618556,0.6288659793814433,0.6219931271477663,0.1099656357388316
MiddlePhalanxTW,0.5714285714285714,0.4155844155844156,0.1493506493506493,0.3311688311688311,0.2662337662337662,0.1038961038961039,0.1038961038961039,0.5454545454545454,0.2792207792207792,0.0
MoteStrain,0.8282747603833865,0.7364217252396166,0.487220447284345,0.7236421725239617,0.6549520766773163,0.5830670926517572,0.5830670926517572,0.7060702875399361,0.7068690095846646,0.3394568690095846
OSULeaf,0.5495867768595041,0.384297520661157,0.1611570247933884,0.3388429752066115,0.128099173553719,0.1033057851239669,0.1033057851239669,0.2520661157024793,0.3181818181818182,0.0661157024793388
PhalangesOutlinesCorrect,0.7878787878787878,0.4662004662004662,0.4032634032634032,0.4883449883449883,0.3228438228438228,0.3146853146853147,0.3146853146853147,0.3881118881118881,0.3904428904428904,0.3846153846153846
Plane,0.9714285714285714,0.7523809523809524,0.1619047619047619,0.2,0.2285714285714285,0.1619047619047619,,0.1619047619047619,0.1619047619047619,0.1619047619047619
PowerCons,0.95,0.9444444444444444,0.7166666666666667,0.65,0.4388888888888889,0.4333333333333333,0.4333333333333333,0.5777777777777777,0.5777777777777777,0.4055555555555555
ProximalPhalanxOutlineAgeGroup,0.8536585365853658,0.697560975609756,0.4292682926829268,0.4292682926829268,0.4,0.4,0.4,0.4292682926829268,0.4292682926829268,0.4146341463414634
ProximalPhalanxOutlineCorrect,0.865979381443299,0.7491408934707904,0.6597938144329897,0.6116838487972509,0.6013745704467354,0.5945017182130584,0.5945017182130584,0.6013745704467354,0.6597938144329897,0.7560137457044673
ProximalPhalanxTW,0.7707317073170732,0.6536585365853659,0.2,0.3707317073170731,0.4536585365853658,0.1609756097560975,0.1609756097560975,0.3317073170731707,0.3268292682926829,0.0146341463414634
RefrigerationDevices,0.5386666666666666,0.4453333333333333,0.5306666666666666,0.4373333333333333,0.4213333333333333,0.4266666666666667,0.4266666666666667,0.4453333333333333,0.4906666666666666,0.272
ShapeletSim,0.4944444444444444,0.4611111111111111,0.5,0.5055555555555555,0.4722222222222222,0.3722222222222222,0.3722222222222222,0.5,0.5,0.4277777777777777
ShapesAll,0.7016666666666667,0.545,0.2033333333333333,0.4,0.205,0.13,,0.2733333333333333,0.1833333333333333,0.06
SmallKitchenAppliances,0.696,0.664,0.6106666666666667,0.4133333333333333,0.3546666666666667,0.3306666666666666,0.3306666666666666,0.3386666666666666,0.3386666666666666,0.2826666666666667
SmoothSubspace,0.9466666666666668,0.78,0.46,0.5733333333333334,0.44,0.38,0.38,0.64,0.7466666666666667,0.3066666666666666
SonyAIBORobotSurface1,0.7820299500831946,0.7720465890183028,0.4792013311148086,0.5008319467554077,0.1281198003327787,0.0366056572379367,,0.4775374376039933,0.5357737104825291,0.043261231281198
